Job Title,Company,Experience,Salary,Location,Description,Skills
"Mechanical Engineer with Raptakos, Brett & Co. Ltd. at Karad",Raptakos Brett And Company,3-7 Yrs,3.5-6 Lacs PA,"Karad, Maharashtra",Having experience in Pharma Industry. . B E / BTech - Mechanical Engineering. .,"Mechanical Engineering, Mechanical Maintenance, Engineering, Mechanical, Co, Maintenance"
Tool Design (Mechanical),Lexicon Infotech,2-6 Yrs,3-7 Lacs PA,"Chennai, Tamil Nadu",Tool Design Jigs & FixturesRequired position: 16.EXP- 2 to 6 YearsMax salary:: 7 Lakhs ...,"Weld Adaptors, Hydraulic fixtures, cat, Creo, Jigs & Fixtures, Fix, Tools, Mechanical"
Plant Head,Lohia Auto Industries,14-24 Yrs,15-27.5 Lacs PA,"Kashipur, Uttarakhand",Role & responsibilities Plant Operations & ManagementProcurement OperationsContinuous I...,"Production Management, Manpower, Operations, Manpower management, Manufacturing management, Manufacturing, Plant Operation, Production"
Plant Head,Skyleaf Consultants,15-24 Yrs,18-33 Lacs PA,South Africa,"Familiar with Induction furnace of Electrotherm and Inductotherm, Rolling mill experien...","metallurgy, Induction, Rolling, Rolling mill, Plant, Furnace, Steel plant, Steel"
Checking Engineer(Mechanical Engineering),Lexicon Infotech,4-8 Yrs,4-8 Lacs PA,"Chennai, Tamil Nadu","Application of GD&T, tolerance analysis and Certified GD&T professional preferred for t...","sheet metal, casting design, checking, mechanical engineering, GD&T, Metal, Tolerance Analysis, Fabrication"
Quantity Survey Engineer/ Billing Engineer,Jalan Group of Industries,12-15 Yrs,Not disclosed,"Kolkata, West Bengal(Sarat Bose Road)",Company - Jalan Group of IndustriesQualification: B. Tech./ B.E. in Civil / Diploma Civ...,"Highway Construction, billing engineering, Quantity Estimation, Quantity Surveying, Quantity, Cost, Boq Preparation, Survey"
Production Manager - Value Added Sugars and Invert Sugar,Dhampure Speciality Sugars,10-20 Yrs,5-7.5 Lacs PA,"Dhampur, Uttar Pradesh, Delhi / NCR",He must have a good attitude and must be in a constant improvement mode Should be able ...,"Food Processing, Production Management, Food Production, Sugar, Quality Control, Production, Process, Control"
Site Engineer,MKM Construction,1-3 Yrs,2.5-4.25 Lacs PA,"Madurai, Tamil Nadu, Chennai, Tamil Nadu, Usilampatti, Tamil Nadu","able to coordinate with site, office, client and all agencies, should be excellent in c...","site engineering, Management, Site supervision, Construction, Site, Building, Site execution, Civil engineering"
Senior Executive - Production,Sicame India Connectors,8-12 Yrs,Not disclosed,"Chengalpattu, Tamil Nadu",A Graduate Degree in the field of Mechanical: The candidate should hold a bachelors deg...,"Production Management, Production Supervising, Production, Engineering, Wiring harness, System, Execution, 5S System"
Purchasing Buyer -( Part -Time Job/ WFH),Borderlessmind,4-9 Yrs,Not disclosed,Remote,Part Time work- 4 Hours. Qualifications: . Bachelors degree is requiredOne year of sche...,"procurement, Manufacturing, Buyer activities, Time, Buying, Vendor, Part, Communication skills"
Junior Manager,Harman Finochem,10-12 Yrs,Not disclosed,"Aurangabad, Maharashtra",01 Desired Candidates Educational Qualification B Tech in Mechanical . 02 Desired Candi...,"qms, Mechanical Engineer, PWS, Mechanical, Change, Boiler, Chiller, Control"
Design Engineer,Universal Heat Exchangers Limited,1-5 Yrs,2.5-7.5 Lacs PA,"Coimbatore, Tamil Nadu",Preferred candidate profile . Experience in PV Elite Software is must,"pv elite, Design engineering, Design, Elite, PV"
Site Coordination - Civil Engineering,Tractebel,12-20 Yrs,Not disclosed,"Talimarjan, Uzbekistan, Tashkent","**Company - At the helm of the Energy Transition, TRACTEBEL provides a full range of se...","execution, site supervision, civil engineering, combine cycle, power, Combined Cycle, Site, Civil works"
Electrical Site Engineer | 2 To 6yrs Exp | 3 Vacancy,Samprid Infra,3-6 Yrs,2.25-3.75 Lacs PA,Chennai,Taking charge of electrical works and delivering them as per requirement Must know Tami...,"Industrial Construction, Labour control, Site, Electrical engineering, Construction, Engineering, Industrial, Electricals"
Process Engineer,Technoforce Solutions,3-6 Yrs,Not disclosed,"Nasik/ Nashik, Maharashtra",Effectively communicate challenges and remove barriers. . Graduate in Chemical Engineer...,"Pump Calculations, PFDS, Hydraulic Calculations, Heat Exchangers, Line Sizing, Sizing, Line, Exchange server"
Req. Sr. Officer For API- Maintenance with Leading Pharma at Aubad,Harman Finochem,5-10 Yrs,Not disclosed,"Aurangabad, Maharashtra",. A) Required Maintenance- Plant Maintenance. . Candidate should in experienced of work...,"Vaccum Pumps, SSR, Plant Maintenance, Break Down Maintenance, GLR, API, Leadership, Plant"
storekeeper/acct For finishes of Marble and granite wrk wth civil bckg,Link International,3-5 Yrs,Not disclosed,"New Delhi, Delhi","Preferred candidate profile for Delhi projects, candidates from Delhi is preferable. . .","Store supervision, Marble, Finishing, Store keeping, Stores, Supervision, Civil, Granite"
Design Engineers,A reputed company in Delhi NCR,5-10 Yrs,Not disclosed,"Delhi / NCR, Punjab, Uttar Pradesh","5 Year Experience in design of industrial refrigeration plants for oil & gas plants, ch...","design engineer, Plant, Refrigeration, Budgeting, Refrigeration plant, Design engineering, Design, Engineering"
Plant Head Manufacturing- Air conditioning & Washing Machine,Noble Moulds,12-20 Yrs,18-25 Lacs PA,"Alwar, Rajasthan",Successfully setting up green field manufacturing facility of Air conditioners & washin...,"Plant Management, production, manufacturing, Air conditioning, M, WM, Plant operations, Washing"
Plant Manager,RNT Consulting Solutions,5-8 Yrs,7-10 Lacs PA,Remote,"Experience with various aspects of business such as safety, production, HR, supply and ...","production management, Plant management, Operations, Production, Plant Operation, Plant, Factory, Plant operations"
Finishing cum Factory Manager,Sara Textiles,8-13 Yrs,10-14 Lacs PA,"Greater Noida, Uttar Pradesh","Requirements: . Bachelors degree in business administration, industrial management, log...","Home Textiles, Factory Management, finishing and packing, Textile, Finishing, Factory, Packaging, Management"
Civil Site Engineer,Mudrika Energy And Telecom Pvt.Ltd.,1-6 Yrs,1.5-5 Lacs PA,Remote,"we are looking that kind of engineers focus on the planning, design, and management of ...","hdpe, Site Supervision, Site Execution, water, know about pipelaying HDPE PIPES., Technical, Technical skills, Execution"
Structural Design Engineer,Jays Civil Tec Design,2-5 Yrs,2.5-5 Lacs PA,Chennai(Purasawalkam),Attend site and client meetings as and when required. Key Skills Minimum 2 years of exp...,"ETABS, AutoCAD, Safe, REVIT, Staad Pro, Structural engineering, RCC, Staad"
E&I Supervisor - (Pipe line/Flow Line),Everserve Consultants,7-10 Yrs,Not disclosed,Oman,Qualifications and Experience: . A bachelors degree or equivalent experience in E&I eng...,"installation, troubleshooting, electrical equipment, instrumentation, Instruments, Pipeline, Line, Flow"
Design Engineer,"DRS Pallet India Pvt Ltd.,",2-3 Yrs,Not disclosed,"Penukonda, Andhra Pradesh",Ensuring product designs meet required safety and structural standards . 2 years of exp...,"2d drafting, autocad, Manufacturing, Engineering, Design engineering, Product design, Drafting, 2D"
Hvac Maintenance Engineer,Arpit Labour Suppliers,3-6 Yrs,2.5-3.5 Lacs PA,"Indore, Madhya Pradesh, Pithampur, Madhya Pradesh",Preferred candidate profile,"hvac maintenance, Chiller, Preventive maintenance, Preventive, Utility maintenance, Air conditioning, HVAC, Chillers"
Electronics Engineer,COLSTON,2-5 Yrs,1.5-2.5 Lacs PA,Sonipat/Sonepat,"Writing specifications, instructions, reports, and handling other required administrati...","Electronics Engineering, power supply knowledge., soldering, P.C.B board assembly.I.C knowledge, ultimeter operation"
Interior / Finishing Site Supervisor- Civil (Real Estate ),Nirant Homes,2-7 Yrs,2-3 Lacs PA,Surat,Preference:- Real Estate Industry Interior and finishing experience candidates only pre...,"Site Supervision, Finishing Work, Contractor Handling, interior finishing, Interior Works, Sanitary, Marble, Flooring"
Manager - Maintenance(Transformer Industry),BVR People Consulting,4-9 Yrs,9-13 Lacs PA,Vadodara,. Bachelors degree in Electrical / Mechanical Engineering or a related field is preferr...,"Winding, Transformers, Maintenance, EOT Cranes, Electrical maintenance, Wind, Electricals, Cranes"
Manager (Manufacturing Engineering),Usaka Engineers,6-11 Yrs,Not disclosed,"Faridabad, Haryana",Candidate should also have Exposure to Industrial engineering Practices Should be able ...,"Industrial Engineering, Process Engineering, Sheet Metal, manufacturing engineering, Engineering, Process, Industrial, Sheet"
Rebar Detailer,Rebar Design And Detail (p) Ltd,1-6 Yrs,Not disclosed,Chennai(Ekkaduthangal),Interested candidates can mail cv to hr@rebardnd.com or walk-in for an interview from M...,"Rebar Cad, rebar detailer, CADS RC, Rebar, RC, CAD, Detailing, AutoCAD"
"Vice President, Planning and Construction(Residential)",Shubhashray Housing India,5-10 Yrs,20-30 Lacs PA,Gurgaon/Gurugram,"Our leadership team includes top-ranked Chartered Accountants, MBAs from premier instit...","MS Excel, AutoCAD, IS code, MS Project, Construction, Planning, Is Codes, Microsoft"
Manager/Sr. Manager- Solar Design- SAEL Ltd.,SAEL LTD.,7-12 Yrs,8-18 Lacs PA,New Delhi(Green Park),Should have Strong management capabilitiesHands on experience in Solar PV yield predict...,"Design, Solar, Solar PV, Solar Design, PV, Management, SR"
Structural Design Engineer,Fabinteriors,3-5 Yrs,Not disclosed,Delhi / NCR(Chattarpur),"Knowledge of prevailing Indian, British, EURO and American Codes . To Coordinate with t...","staad pro, Detailing, Staad, Structural design, Design"
Design Engineer,Usaka Engineers,8-12 Yrs,Not disclosed,"Faridabad, Haryana","Design & development of Process, Tool & Dies of new parts for tier -1 Sheet metal parts...","Tool Design, Sheet Metal Design, Press Tool Design, design engineering, Solid Works, Jigs, Solid, Design"
Spray Painter - Paint Shop - For a Manufacturing Company,R.M Shah Management Consultants,1-5 Yrs,Not disclosed,Vadodara,Liquid paint knowledge preferredShould be available to join in 15-30 days time,"liquid painting, spray painting, Paint Shop, Finishing, Liquid, Manufacturing, Manufacturing Industry, Company"
CNC Machinist AND Operator (metal Spinning),MK Group,5-10 Yrs,"45,000-55,000 PA",Canada,SKILLS / EMPLOYER REQUIREMENTS/ EDUCATION: . Must be able to lift and carry up to 25 lb...,"CNC Machines, CNC Turning, manual metal spinning machines, CNC, Metal, Operations, Machining, Machine"
"Hiring Quality Engineer , Design , Stores , Maintenance , HR Sales",Panacea Vencer,1-5 Yrs,Not disclosed,"Chennai, Coimbatore","Hiring Quality Engineer , Production , SAP , Design , Stores , Maintenance , HR , Sales...","BE, Design, QC, Manufacturing, EEE, Vendor Development, Mechanical engineering, Development"
"Shift Incharge(Production) - Agrochemical Industry in Saykha,Gujarat",Capital Placement Services,5-10 Yrs,5-7.5 Lacs PA,"Bharuch, Ahmedabad, Vadodara","monitor shift activities, plan ensure timely production completion activities as per pl...","Gujarat, Sr. Executive-Production, agro chemical, Chemical, shift inchareg engineer, Shift management, PM, RM"
Engineer / Sr. Engineer - Electrical ( Power Plant ),Wonder Cement,4-7 Yrs,Not disclosed,"Nimbahera, Rajasthan",Handle CPP & WHRS Electrical Maintenance Having Knowledge of Generator Sync Procedure &...,"Shift Engineer, CPP & WHRS Electrical Maintenance, Maintenance, Electrical maintenance, Plant, Electricals, Power plant, SR"
Project Manager,Sri Venkatachalapathy Constructions (P) Ltd,9-13 Yrs,Not disclosed,"Tamil Nadu, Kerala","Experience Designing, Layout Planning, Execution & supervising Large-scale production s...","Site Planning, Material Management, Site Execution, Labour Management, Quantity Estimation, Materials, Site, Estimation"
Electrical Engineer,Evolet Healthcare,10-12 Yrs,Not disclosed,Roorkee,"Graduation in Electrical EngineeringShould have knowledge about PLC, SCADA, and HMI Ser...","electrical engineering, Panels, Inspection, Electricals, Engineering, PLC, HMI, Transformers"
MEP Engineer,Evolet Healthcare,10-12 Yrs,Not disclosed,Roorkee,"Candidate should able to handle planning, coordination, bill certifications, drawings, ...","mechanical engineering, HVAC Engineering, STP, Mechanical electrical plumbing, HVAC, Piping, Mechanical, Plumbing"
Projects (Civil),Walkaroo International,6-11 Yrs,Not disclosed,Coimbatore,"Responsible for execution of Civil projects across India. Co-oridnate with Architect, B...","industrial buidling, site supervision, Civil Project Management, Contract Management, Management, Abstracting, Documents, Civil"
Electrical Engineer,Freelancer Dinesh Singh,2-7 Yrs,"45,000-60,000 PA",Canada,"Designing, maintaining, implementing, or improving electrical instruments, facilities, ...","Electrical Engineering, Electrical maintenance, Engineering, Plant, Electricals, Utility maintenance, AutoCAD, Maintenance engineering"
Mechanical Engineer,Freelancer Dinesh Singh,1-5 Yrs,"50,000-70,000 PA",Canada,"Perform a full lifecycle product development (design, develop, test prototypes, manufac...","Mechanical Engineering, Automobile, Manufacturing, Maintenance engineering, Design, AutoCAD, Mechanical design, Mechanical"
Civil Site Engineer,Freelancer Dinesh Singh,1-6 Yrs,"50,000-65,000 PA",Canada,Developing detailed designs Doing feasibility assessments and site inspections Preparin...,"Civil Engineering, Shuttering, Construction engineering, Civil Supervision, Construction, Civil 3D, Site, Engineering projects"
Wanted Assistant Technical Manager- lectrical with C License @ Manali,GSH Group,6-11 Yrs,3-6 Lacs PA,"Chennai, Tamil Nadu(Manali)",GSH is looking for Assistant Technical Manager - Electrical with C License 6 - 10 yrs e...,"Substation, Utility, Machine Maintenance, C, Machine, Technical, Technical management, Management"
Vmc Programmer,Indian Techno And Engineering,5-6 Yrs,3-4 Lacs PA,"Bhilai/ Bhillai, Chhattisgarh",Vertical Milling Centre Programming . Required good knowledge on Fanuc and Siemens driv...,"Fanuc Control, VMC programming, Milling, CNC milling, Fanuc, Set, Setting, CNC"
Wanted Engineer (PCB Testing & Trouble Shooting @ Maraimalainagar,GSH Group,3-8 Yrs,1.5-3.5 Lacs PA,"Chennai, Tamil Nadu(Maraimalai Nagar)","GSH, Electrical Engineers with 3 -8yrs experience in PCBA Testing & trouble shooting. I...","Pcb Repair, Pcb Soldering, Pcb Assembly, Shooting, Troubleshooting, Assembly, Soldering, PCB"
Wanted Instrumentation Engineer /Technician @ Coimbatore,GSH Group,3-5 Yrs,2-2.5 Lacs PA,"Coimbatore, Tamil Nadu",GSH is looking for Instrumentation Engineer with 3-5 yrs experience in Instrumentation....,"Maintenance, Instruments, Instrumentation, Instrumentation engineering, Instrumentation Maintenance, Engineering"
Assistant Factory Manager- Africa,Sumita Sandeep Singh,10-17 Yrs,Not disclosed,Central African Republic,Highly organized and efficient professional with experience and basic understanding of ...,"Factory Management, Manufacturing Operations, Operating, Machine, Operations, Manufacturing Operation, Factory, Manufacturing"
GM - Operations & Maintenance (Coal Handling Plant),Bhima Projects,18-28 Yrs,12-18 Lacs PA,Singrauli,"Modification activitys as per required like work approach, system structure, Hazards re...","Operations Management, Conveyors, Fabrication, Management, Manpower, Plant Operation, Operation Maintenance, Plant"
Senior Engineer/ Engineer ( Civil ),Rajhans Desai Jain Group,4-8 Yrs,4.25-7 Lacs PA,Surat,Contractors material cross-verification for quality and quantity before the start of th...,"Team Management, Civil, SAP, Material management, Execution, Material planning, Project execution, Senior"
Electrical Technician Electrician,MK Group,5-10 Yrs,"50,000-55,000 PA",Canada,Min 5 years of experience,"electricals, electrician, Install / replace and repair lighting fixtures and electrical control and distribution equipment/such as switches/relays and circuit breaker panels., Splice/ join and connect wire to fixtures and components to form circuits, Lighting, Switching, Circuits, Breakers"
Heavy CNC Machinist,MK Group,3-8 Yrs,"45,000-50,000 PA",Canada,Machining experience on either 3 / 4/5 axis is an asset Experience handling parts over ...,"Operate control systems such as Siemens/ Fanu/ and Toshiba, Experience handling parts over 40 in diameter of length/width and weight capacities of at least 1000 lbs., System, Operating, Heavy, Diameter, Part, CNC machines"
Pressure Welders,MK Group,5-10 Yrs,"50,000-60,000 PA",Canada,Experience: Min 5 years of experience . NoGood news!,"Specialized in pressure vessels/ boilers welding and fitting of pipe parts, Pressure vessels, Pressure, Piping, Part, Vessels, Boiler, Welding"
"Machine Operators (Tube bending, pipe draw, forming, cutting, bending)",MK Group,5-10 Yrs,45-55 Lacs PA,Canada,Experience: Min 5-10 years of experience . NoGood news!,"Set up and operate various metal-working machines such as Tube bending/ pipe draw/ forming/ cutting/ bending, Draw, Machine, Tube, Cutting, Piping, Operating, Bending"
Production Manager,COLSTON,2-5 Yrs,Not disclosed,Sonipat/Sonepat,Roles and Responsibilities planning details of production activities in terms of output...,"production processes, Control, Quality control, Quality, Production Process, Factory management, Factory operations, Factory"
Order Execution Engineer- Parts processing and repair pumps,Sulzer,3-5 Yrs,Not disclosed,"Vadodara/ Baroda, Gujarat",Should have good understanding in Continuous improvements Good communication skills (bo...,"SAP PP, SAP MM, OTDR, Production Planning, customer TPI, Execution, Order Execution, SAP"
Automotive Electrical Technician,MK Group,5-10 Yrs,"60,000-70,000 PA",Canada,Educational requirement: High school graduate is mandatoryExperience working on utility...,"Electrical Maintenance, automotive technician, Electrical Installation, mechanical skills, Electricals, Mechanical, Installation, Automotive"
Mechanical Installations Technician,MK Group,5-10 Yrs,"55,000-65,000 PA",Canada,Solid mechanical skills and hands-on experience working with heavy duty vehicles equipm...,"welding, truck mechanic, fabrication, hydraulic pump, mechanical skills, Machine, Mechanical Troubleshooting, Machine assembly"
Sandblaster,MK Group,5-10 Yrs,"45,000-55,000 PA",Canada,"Education: high school graduate is mandatory, any diploma, certifications is an advantage","assembly, sandblaster, hand tools, construction painting, Tools, Construction, Painting"
Metalworking Machine Helper (punch Press Operator),MK Group,3-8 Yrs,"50,000-60,000 PA",Canada,Forklift certification Be able to perform basic machine maintenance troubleshoot and pe...,"shears-brakes-punches and drill presses including CNC equipment to cut-bend-punch-drill-shape or straighten sheet meta, Assist structural steel and platework fitters-sheet metal workers-metalworking machine operators or other metal workers, Drilling, Sheet, Equipment, Operating, CNC, Press"
Project Manager (Hydro & Tunnel),Rithwik Projects,25-30 Yrs,40-50 Lacs PA,Himachal Pradesh,CANDIDATE SHALL BE GRADUATE OR POST GRADUATE IN CIVIL ENGINEERING. MINIMUM 25 OF YEARS ...,"HYDRO, TUNNEL, PROJECT HEAD, PROJECT MANAGER, NATM, Execution, Project planning, Planning"
Window and Door Installer,MK Group,2-7 Yrs,"50,000-60,000 PA",Canada,Experience in installing and removing Windows and Doors is mandatory,"installing and removing Windows and Doors, Microsoft Windows, Doors, Installation"
Supervisor / Asst Factory Manager,Utsavgiri Computers And Electronics Industries,2-6 Yrs,3.25-3.5 Lacs PA,"Chennai, Tamil Nadu(OMR)",To lead a team and oversee production of electronic components.Preference will be given...,"INDUCTOR, Electronics Components Manufacturing, Manufacturing Operations, SMPS TRANSFORMER, Management, Electronics, Plant, Plant operations"
CNC Operator,JMD Consultant,0-2 Yrs,1.5-2.25 Lacs PA,"Jaipur, MAHINDRA SEZ, VKI",8 hours work + 2 tea breaks of 15 min each + 30 min Lunch ) Minimum Exp 1-2 years,"Fitter, CNC M, Fanuc, M, Milling, ITI, CNC part programming, Control"
Freshers Hiring ( Diploma / Degree/ ITI ),Spectrum Talent Management,0-2 Yrs,2-2.5 Lacs PA,"Sriperumbudur, Tamil Nadu",DIPLOMA / ITICANTEEN AND CAB AVAILABLE,"Production, Hiring, ITI"
NAPS Trainee - Diploma / Degree / Be,Spectrum Talent Management,0-1 Yrs,1.75-2 Lacs PA,Chennai(MM Nagar),Role & responsibilities Any degree Food availableSaturday & Sunday Leave,"Training, Production"
Vision Engineer,Schott Poonawalla,0-2 Yrs,Not disclosed,"Bharuch, Jambusar, Padra, Vadodara",Roles and Responsibilities Maintenance of vision & Line for better productivitySetup vi...,"Maintenance Engineering, Electronics, Maintenance, Mechatronics, Vision System, Electronics engineering, Vision, System"
Laser Cutting Machine Operator ( Bodor) - Chennai,Mekins Industries,0-4 Yrs,1-2.25 Lacs PA,Chennai,"• Candidate should be CNC Laser Machine Operator • Should have Experience in BODOR (SS,...","MIG Welding, Machine operating, Production, ITI, Machine, Cutting, Operating, Laser cutting"
Data Entry Operator,KISWOK,0-2 Yrs,1.5-1.75 Lacs PA,"Kolkata, Howrah",Daily entry the data into excel sheet and software.,"Data entry, Writing, Data, MS Office, Microsoft, Email Writing, Operating, Data entry operation"
"ITI/Diploma - Mechanical, Machine Operator || Guntur-Fresher",Avani Consulting,0-5 Yrs,1.5-2 Lacs PA,"Vijayawada, Andhra Pradesh, Guntur, Andhra Pradesh, Nellore, Andhra Pradesh",Fresher also apply. Salary -12k to 16k. Job Location is- Guntur,"iti, CNC, Mechanical, Machine, Operating, Machine operating"
Site Engineer,Chemclean,0-3 Yrs,2.25-2.5 Lacs PA,Remote,Roles and Responsibilities 1. Industrial Cleaning related job execution in Reliance Jam...,"Site, Manpower, Manpower management, Site engineering, MIS, MIS generation, Generation, Management"
Electrical Engineer - Intern,Draeger India,0-1 Yrs,Not disclosed,Vasai,"Roles and Responsibilities . Electrical Engineer - PIB (Digital) sections, PIB and BCB ...","electrical engineering, Engineering, Electricals"
Injection Moulding Operator,Career Solutions,0-1 Yrs,2-3 Lacs PA,"New Delhi, Sonipat/ Sonepat, Haryana, Delhi / NCR",Independently setup molds and machines for mold trials and production. Optimize paramet...,"Injection Moulding, Plastic injection molding, Injection, Overloading, Plastic, Operating, Moulds, Injection Mould"
Electrical Engineer,Kamal Envirotech,0-4 Yrs,1.5-2.75 Lacs PA,Neemrana,"Knowledge of Electrical Panel Wiring, Motor Connections, Terminals, VFD, Contactors, Au...","Panel Wiring, Panels, Electrical engineering, Electricals, Wiring, Electrical works"
Trainee mech /elelertical/Chemical /MSC/FOOD @mmc group,TAJ Consultancy,0-1 Yrs,Not disclosed,"Jalgaon, Maharashtra, Nanded, Maharashtra, Hingoli, Maharashtra","Trainee Engineers work under the guidance of a Manager or Supervisor, fulfilling variou...","Training, Chemical, mech elelertical Chemical MSC FOOD, Trainee Engineer"
Welder,Micro Precision Industries,0-5 Yrs,1.5-2.5 Lacs PA,"Mohali, Punjab",We urgently need a skilled welder for our sheet metal components manufacturing facility...,"Welding, MIG, Seam, ITI"
Pcb Design Engineer,Sofcon India Pvt. Ltd.,0-1 Yrs,Not disclosed,Delhi / NCR,• Schematic entry • PCB layout design (mostly 4+ layers) • Footprint/library creation (...,"PCB Designing, Circuit Designing, Signalling, Layout, PCB, Signal integrity, PCB Layout, Altium"
Pcb Design Engineer,Sofcon India Pvt. Ltd.,0-1 Yrs,Not disclosed,Delhi / NCR,• Schematic entry • PCB layout design (mostly 4+ layers) • Footprint/library creation (...,"PCB Designing, Circuit Designing, Signalling, Layout, PCB, Signal integrity, PCB Layout, Altium"
PLC Engineer,Simho Hr Services,0-5 Yrs,Not disclosed,"Chennai, Nellore, Andhra Pradesh, Chitoor, Andhra Pradesh",Qualification - B.E - EEE or BE ECE *Experience - fresher or 2 years experience in prog...,"Programming Logic Control, Programming Logic, Programming, Logic, Control, Automation, Program, PLC"
Civil Site Engineer,Skyline Building And Infrastructure Constructions And Consultants,0-5 Yrs,Not disclosed,"Sangli, Maharashtra, Latur, Maharashtra, Solapur, Maharashtra",Candidates will be given preference from the Institutes.BHADANIS QUANTITY SURVEYING INS...,"Site Supervision, Civil Engineering, Site Execution, Construction Management, Civil Site Engineering, Management, Estimation engineering, Construction"
Civil Site Engineer,Skyline Building And Infrastructure Constructions And Consultants,0-5 Yrs,Not disclosed,"Kolhapur, Maharashtra, Raigad, Maharashtra, Ahmednagar, Maharashtra",Candidates will be given preference from the Institutes.BHADANIS QUANTITY SURVEYING INS...,"Site Supervision, Civil Engineering, Site Execution, Construction Management, Civil Site Engineering, Construction, Site, Estimation engineering"
Civil Site Engineer,Skyline Building And Infrastructure Constructions And Consultants,0-5 Yrs,Not disclosed,"Dhanbad, Jharkhand, Jamshedpur, Jharkhand, Ranchi, Jharkhand",Candidates will be given preference from the Institutes.BHADANIS QUANTITY SURVEYING INS...,"Site Supervision, Civil Engineering, Site Execution, Construction Management, Civil Site Engineering, Management, Estimation engineering, Construction"
Civil Site Engineer,Skyline Building And Infrastructure Constructions And Consultants,0-5 Yrs,Not disclosed,"Patna, Bihar, Darbhanga, Bihar, Gaya, Bihar",Candidates will be given preference from the Institutes.BHADANIS QUANTITY SURVEYING INS...,"Estimation Engineering, Civil Engineering, Site Execution, Construction Management, Civil Site Engineering, Building, Construction, Site supervision"
Civil Supervisor,Skyline Building And Infrastructure Constructions And Consultants,0-5 Yrs,1.75-3.75 Lacs PA (Including Variable: 20.0%),"Meerut, Uttar Pradesh, Agra, Uttar Pradesh, Baghpat, Uttar Pradesh","Oversee and manage all on-site construction activities, ensuring compliance with plans,...","Site Supervision, Civil Engineering, Civil Supervision, Labour Control, Construction Supervision, Construction, Site, Civil Site Engineering"
Civil Supervisor,Skyline Building And Infrastructure Constructions And Consultants,0-5 Yrs,1.75-3.75 Lacs PA (Including Variable: 20.0%),"Patna, Bihar, Darbhanga, Bihar, Gaya, Bihar","Oversee and manage all on-site construction activities, ensuring compliance with plans,...","Site Supervision, Civil Engineering, Civil Supervision, Labour Control, Construction Supervision, Execution, Control, Construction"
Civil Engineering Expert,Skyline Building And Infrastructure Constructions And Consultants,0-5 Yrs,Not disclosed,"Ghaziabad, Uttar Pradesh, New Delhi, Delhi, Gurgaon/ Gurugram, Haryana",Candidates will be given preference from the Institutes.BHADANIS QUANTITY SURVEYING INS...,"Estimation Engineering, Civil Engineering, Site Execution, Construction Management, Civil Site Engineering, Management, Site supervision, Construction"
"ITI (Fitter/Electrician/Wireman/Helper). CO, Makarpura Vadodara",Rekha Manoj Ukhade,0-2 Yrs,1-1.25 Lacs PA,Vadodara,"Should completed ITI from Vadodara PF & ESIC Facility, Good Working EnvironmentGood tra...","Fitter, Helper Activities, Wireman, Electricians, Maintenance, Machining, Mechanical, ITI"
"Fireman, safety supervisor",Vij Enterprises,0-5 Yrs,1.75-3 Lacs PA,"Bhopal, Madhya Pradesh, Mahad, Maharashtra","Post: civil engh, fire watcher Quil: Any Diploma fire& safety Loct: Bhopal Mp , Mumbai ...","Industrial safety, HIRA, Adis, Oil, Fire, Safety training, Cold, Training"
Mechanical Fresher,Unique Consultancy & Management,0-1 Yrs,1.5-2.25 Lacs PA,"Sitarganj, Uttarakhand",Excellent Communication Skill Candidate must have good Presentation SkillGood Presentat...,"Manpower, Operations, Mechanical, Manpower handling, Handling, Looking after Productive operation, Responsible for Manpower Handling"
Embedded Systems Engineer,Sofcon India,0-0 Yrs,Not disclosed,"Noida, Uttar Pradesh, Delhi / NCR",• Strong C++ programming skills in embedded environment • Strong understanding in RTOS ...,"Embedded C, Raspberry Pi, Microcontroller, STM, Arduino, ARM, 8051 Assembly, PI"
Printing Machine Electrician,Satvat Infosol,0-1 Yrs,1.25-1.5 Lacs PA,"Chennai, Tamil Nadu(Adyar)","*Installs and repairs electrical wiring, systems, and fixtures in buildings*Ensures pip...","Electrical Maintenance, Production And Maintenance, Routine Maintenance, Electrical Engineering, Printing, Production, Machine, Engineering"
Printing Machine Operator,Satvat Infosol,0-1 Yrs,1.25-1.5 Lacs PA,"Chennai, Tamil Nadu(Adyar)","*Operates various types of printing machines including offset, letterset, and screen pr...","Printing, Machine Operating, Preventive Maintenance, Routine Maintenance, Preventive, Production, Machine, Production Process"
AC Technician Job Openings in Dubai,ART Technologies,0-3 Yrs,4.25-5 Lacs PA,"Dubai, Chennai, Tamil Nadu, UAE",Designation - AC Technician Qualification - Diploma/BE Location - Dubai Salary - 1500 t...,"Air Conditioning, AC technician, Refrigeration, Cold, Cold chain, Chiller, Ac, Refrigerator"
Diploma Electrical Technician Jobs in Dubai / UAE,ART Technologies,0-1 Yrs,4.75-6.5 Lacs PA,"Dubai, Chennai, Tamil Nadu, UAE",Contact HR Niki - 7200153859 Work is Electrical Maintenance (Freshers Also),"Panel Wiring, Electricals, Panel Board, Production, Electrical Engineering, Cable laying, Wiring, Engineering"
Electrical Engineer,L Man Power Service,0-5 Yrs,Not disclosed,Chennai,Electrical engineers and electronic engineers urgently wanted.. fresher or experience c...,"Design, Quality, Production, Maintenance, Electricals, Electrical engineering"
